Away,Home,Away_Score,Home_Score,Date
Florida State,Georgia Tech,21,24,2024-08-24
Montana State,New Mexico,35,31,2024-08-24
SMU,Nevada,29,24,2024-08-24
Delaware State,Hawai'i,14,35,2024-08-24
Murray State,Missouri,0,51,2024-08-29
Southern Utah,Utah,0,49,2024-08-29
Lindenwood,Kansas,3,48,2024-08-29
Western Carolina,NC State,21,38,2024-08-29
Howard,Rutgers,7,44,2024-08-29
North Carolina A&T,Wake Forest,13,45,2024-08-29
New Hampshire,UCF,3,57,2024-08-29
Lafayette,Buffalo,13,30,2024-08-29
Fordham,Bowling Green,17,41,2024-08-29
Central Connecticut,Central Michigan,10,66,2024-08-29
Arkansas-Pine Bluff,Arkansas,0,70,2024-08-29
Duquesne,Toledo,10,49,2024-08-29
North Dakota State,Colorado,26,31,2024-08-29
Coastal Carolina,Jacksonville State,55,27,2024-08-29
Alcorn State,UAB,3,41,2024-08-29
SE Louisiana,Tulane,0,52,2024-08-29
Northwestern State,Tulsa,28,62,2024-08-29
North Carolina,Minnesota,19,17,2024-08-29
Jackson State,UL Monroe,14,30,2024-08-29
Eastern Illinois,Illinois,0,45,2024-08-29
Sacramento State,San José State,24,42,2024-08-29
Temple,Oklahoma,3,51,2024-08-30
Lehigh,Army,7,42,2024-08-30
Florida Atlantic,Michigan State,10,16,2024-08-30
Elon,Duke,3,26,2024-08-30
Western Michigan,Wisconsin,14,28,2024-08-30
TCU,Stanford,34,27,2024-08-30
Clemson,Georgia,3,34,2024-08-31
Akron,Ohio State,6,52,2024-08-31
Idaho,Oregon,14,24,2024-08-31
Colorado State,Texas,0,52,2024-08-31
Western Kentucky,Alabama,0,63,2024-08-31
Furman,Ole Miss,0,76,2024-08-31
Notre Dame,Texas A&M,23,13,2024-08-31
Penn State,West Virginia,34,12,2024-08-31
Fresno State,Michigan,10,30,2024-08-31
Chattanooga,Tennessee,3,69,2024-08-31
South Dakota State,Oklahoma State,20,44,2024-08-31
UT Martin,Kansas State,6,41,2024-08-31
Miami,Florida,41,17,2024-08-31
New Mexico,Arizona,39,61,2024-08-31
Illinois State,Iowa,0,40,2024-08-31
Virginia Tech,Vanderbilt,27,34,2024-08-31
UConn,Maryland,7,50,2024-08-31
Austin Peay,Louisville,0,62,2024-08-31
Indiana State,Purdue,0,49,2024-08-31
Kent State,Pittsburgh,24,55,2024-08-31
Bucknell,Navy,21,49,2024-08-31
Towson,Cincinnati,20,38,2024-08-31
Portland State,Washington State,30,70,2024-08-31
Florida International,Indiana,7,31,2024-08-31
UTEP,Nebraska,7,40,2024-08-31
Eastern Michigan,Massachusetts,28,14,2024-08-31
East Tennessee State,App State,10,38,2024-08-31
North Dakota,Iowa State,3,21,2024-08-31
Ohio,Syracuse,22,38,2024-08-31
Kennesaw State,UTSA,16,28,2024-08-31
Merrimack,Air Force,6,21,2024-08-31
Miami (OH),Northwestern,6,13,2024-08-31
Western Illinois,Northern Illinois,15,54,2024-08-31
Boise State,Georgia Southern,56,45,2024-08-31
Old Dominion,South Carolina,19,23,2024-08-31
Stony Brook,Marshall,3,45,2024-08-31
UC Davis,California,13,31,2024-08-31
North Texas,South Alabama,52,38,2024-08-31
Eastern Kentucky,Mississippi State,7,56,2024-08-31
Campbell,Liberty,24,41,2024-08-31
Richmond,Virginia,13,34,2024-08-31
Norfolk State,East Carolina,3,42,2024-08-31
Idaho State,Oregon State,15,38,2024-08-31
Central Arkansas,Arkansas State,31,34,2024-08-31
