Away,Home,Away_Score,Home Score,Date
Iowa State,Kansas State,24,21,2025-08-23
Idaho State,UNLV,31,38,2025-08-23
Fresno State,Kansas,7,31,2025-08-23
Sam Houston,Western Kentucky,24,41,2025-08-23
Stanford,Hawai'i,20,23,2025-08-23
Boise State,South Florida,7,34,2025-08-28
Ohio,Rutgers,31,34,2025-08-28
Lafayette,Bowling Green,7,26,2025-08-28
East Carolina,NC State,17,24,2025-08-28
Jacksonville State,UCF,10,17,2025-08-28
Delaware State,Delaware,17,35,2025-08-28
Saint Francis,UL Monroe,0,29,2025-08-28
Wyoming,Akron,10,0,2025-08-28
Central Arkansas,Missouri,6,61,2025-08-28
Elon,Duke,17,45,2025-08-28
UT Martin,Oklahoma State,7,27,2025-08-28
Buffalo,Minnesota,10,23,2025-08-28
Stephen F. Austin,Houston,0,27,2025-08-28
Alabama State,UAB,42,52,2025-08-28
Nebraska,Cincinnati,20,17,2025-08-28
Miami (OH),Wisconsin,0,17,2025-08-28
Stony Brook,San Diego State,0,42,2025-08-28
Western Illinois,Illinois,3,52,2025-08-29
Tarleton State,Army,30,27,2025-08-29
Western Michigan,Michigan State,6,23,2025-08-29
Kennesaw State,Wake Forest,9,10,2025-08-29
App State,Charlotte,34,11,2025-08-29
Wagner,Kansas,7,46,2025-08-29
Auburn,Baylor,38,24,2025-08-29
Georgia Tech,Colorado,27,20,2025-08-29
Bethune-Cookman,Florida International,9,42,2025-08-29
UNLV,Sam Houston,38,21,2025-08-29
Central Michigan,San José State,16,14,2025-08-29
Texas,Ohio State,7,14,2025-08-30
Nevada,Penn State,11,46,2025-08-30
LSU,Clemson,17,10,2025-08-30
Marshall,Georgia,7,45,2025-08-30
Montana State,Oregon,13,59,2025-08-30
Alabama,Florida State,17,31,2025-08-30
Northern Arizona,Arizona State,19,38,2025-08-30
New Mexico,Michigan,17,34,2025-08-30
Long Island University,Florida,0,55,2025-08-30
East Texas A&M,SMU,13,42,2025-08-30
North Dakota,Kansas State,35,38,2025-08-30
Illinois State,Oklahoma,3,35,2025-08-30
UTSA,Texas A&M,24,42,2025-08-30
Old Dominion,Indiana,14,27,2025-08-30
Georgia State,Ole Miss,7,63,2025-08-30
South Dakota,Iowa State,7,55,2025-08-30
Arkansas-Pine Bluff,Texas Tech,7,67,2025-08-30
Syracuse,Tennessee,26,45,2025-08-30
Mississippi State,Southern Miss,34,17,2025-08-30
Florida Atlantic,Maryland,7,39,2025-08-30
Ball State,Purdue,0,31,2025-08-30
Northwestern,Tulane,3,23,2025-08-30
Duquesne,Pittsburgh,9,61,2025-08-30
VMI,Navy,7,52,2025-08-30
Merrimack,Kent State,17,21,2025-08-30
Toledo,Kentucky,16,24,2025-08-30
Fordham,Boston College,10,66,2025-08-30
Robert Morris,West Virginia,3,45,2025-08-30
Central Connecticut,UConn,13,59,2025-08-30
Eastern Kentucky,Louisville,17,51,2025-08-30
Bucknell,Air Force,13,49,2025-08-30
Temple,Massachusetts,42,10,2025-08-30
Holy Cross,Northern Illinois,17,19,2025-08-30
Maine,Liberty,7,28,2025-08-30
Alabama A&M,Arkansas,7,52,2025-08-30
Chattanooga,Memphis,10,45,2025-08-30
UAlbany,Iowa,7,34,2025-08-30
Coastal Carolina,Virginia,7,48,2025-08-30
Weber State,James Madison,10,45,2025-08-30
Charleston Southern,Vanderbilt,3,45,2025-08-30
Austin Peay,Middle Tennessee,34,14,2025-08-30
North Alabama,Western Kentucky,6,55,2025-08-30
Southeast Missouri State,Arkansas State,24,42,2025-08-30
Morgan State,South Alabama,21,38,2025-08-30
Nicholls,Troy,20,38,2025-08-30
Missouri State,USC,13,73,2025-08-30
SE Louisiana,Louisiana Tech,0,24,2025-08-30
UTEP,Utah State,16,28,2025-08-30
Portland State,BYU,0,69,2025-08-30
Rice,Louisiana,14,12,2025-08-30
Eastern Michigan,Texas State,27,52,2025-08-30
Lamar,North Texas,0,51,2025-08-30
Abilene Christian,Tulsa,7,35,2025-08-30
Bryant,New Mexico State,3,19,2025-08-30
Georgia Southern,Fresno State,14,42,2025-08-30
Idaho,Washington State,10,13,2025-08-30
California,Oregon State,34,15,2025-08-30
Hawai'i,Arizona,6,40,2025-08-30
Utah,UCLA,43,10,2025-08-30
Colorado State,Washington,21,38,2025-08-30
Notre Dame,Miami,24,27,2025-08-31
Virginia Tech,South Carolina,11,24,2025-08-31
TCU,North Carolina,48,14,2025-09-01
James Madison,Louisville,14,28,2025-09-05
Western Illinois,Northwestern,7,42,2025-09-05
Northern Illinois,Maryland,9,20,2025-09-05
Eastern Washington,Boise State,14,51,2025-09-05
Grambling,Ohio State,0,70,2025-09-06
Florida International,Penn State,0,34,2025-09-06
Louisiana Tech,LSU,7,23,2025-09-06
Austin Peay,Georgia,6,28,2025-09-06
Bethune-Cookman,Miami,3,45,2025-09-06
Oklahoma State,Oregon,3,69,2025-09-06
San José State,Texas,7,38,2025-09-06
Troy,Clemson,16,27,2025-09-06
South Carolina State,South Carolina,10,38,2025-09-06
Illinois,Duke,45,19,2025-09-06
Arizona State,Mississippi State,20,24,2025-09-06
South Florida,Florida,18,16,2025-09-06
East Texas A&M,Florida State,3,77,2025-09-06
Michigan,Oklahoma,13,24,2025-09-06
Iowa,Iowa State,13,16,2025-09-06
Baylor,SMU,48,45,2025-09-06
Utah State,Texas A&M,22,44,2025-09-06
Ole Miss,Kentucky,30,23,2025-09-06
UL Monroe,Alabama,0,73,2025-09-06
East Tennessee State,Tennessee,17,72,2025-09-06
Kennesaw State,Indiana,9,56,2025-09-06
Kent State,Texas Tech,14,62,2025-09-06
Cal Poly,Utah,9,63,2025-09-06
Northwestern State,Minnesota,0,66,2025-09-06
Virginia,NC State,31,35,2025-09-06
Central Michigan,Pittsburgh,17,45,2025-09-06
UConn,Syracuse,20,27,2025-09-06
Liberty,Jacksonville State,24,34,2025-09-06
Howard,Temple,7,55,2025-09-06
Idaho State,New Mexico,22,32,2025-09-06
Kansas,Missouri,31,42,2025-09-06
Fresno State,Oregon State,36,27,2025-09-06
Gardner-Webb,Georgia Tech,12,59,2025-09-06
Bowling Green,Cincinnati,20,34,2025-09-06
Delaware,Colorado,7,31,2025-09-06
Lindenwood,App State,13,20,2025-09-06
Texas State,UTSA,43,36,2025-09-06
UAB,Navy,24,38,2025-09-06
North Texas,Western Michigan,33,30,2025-09-06
Saint Francis,Buffalo,6,45,2025-09-06
Middle Tennessee,Wisconsin,10,42,2025-09-06
West Virginia,Ohio,10,17,2025-09-06
Northern Iowa,Wyoming,7,31,2025-09-06
Western Carolina,Wake Forest,10,42,2025-09-06
Miami (OH),Rutgers,17,45,2025-09-06
Arkansas State,Arkansas,14,56,2025-09-06
Sacramento State,Nevada,17,20,2025-09-06
Jackson State,Southern Miss,20,38,2025-09-06
Bryant,Massachusetts,27,26,2025-09-06
Texas Southern,California,3,35,2025-09-06
Missouri State,Marshall,21,20,2025-09-06
North Carolina Central,Old Dominion,6,54,2025-09-06
Campbell,East Carolina,3,56,2025-09-06
Florida A&M,Florida Atlantic,14,56,2025-09-06
North Carolina,Charlotte,20,3,2025-09-06
Army,Kansas State,24,21,2025-09-06
Houston,Rice,35,9,2025-09-06
North Carolina A&T,UCF,7,68,2025-09-06
Western Kentucky,Toledo,21,45,2025-09-06
Northern Colorado,Colorado State,17,21,2025-09-06
Memphis,Georgia State,38,16,2025-09-06
Tulane,South Alabama,33,31,2025-09-06
Long Island University,Eastern Michigan,28,23,2025-09-06
Ball State,Auburn,3,42,2025-09-06
Vanderbilt,Virginia Tech,44,20,2025-09-06
Akron,Nebraska,0,68,2025-09-06
Georgia Southern,USC,20,59,2025-09-06
Boston College,Michigan State,40,42,2025-09-06
Southern Illinois,Purdue,17,34,2025-09-06
Charleston Southern,Coastal Carolina,0,13,2025-09-06
UCLA,UNLV,23,30,2025-09-06
McNeese,Louisiana,10,34,2025-09-06
Tulsa,New Mexico State,14,21,2025-09-06
UT Martin,UTEP,17,42,2025-09-06
Weber State,Arizona,3,48,2025-09-06
San Diego State,Washington State,13,36,2025-09-06
Stanford,BYU,3,27,2025-09-06
UC Davis,Washington,10,70,2025-09-06
Sam Houston,Hawai'i,20,37,2025-09-06
NC State,Wake Forest,34,24,2025-09-11
Indiana State,Indiana,0,73,2025-09-12
Colgate,Syracuse,24,66,2025-09-12
Colorado,Houston,20,36,2025-09-12
Kansas State,Arizona,17,23,2025-09-12
